證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
1457,2015年第3季,,,,              1281437,              1281437,                  1715,                  2633,              1277089,              1277089,,,              1218688,              1218688,              1218688,                 58401,                 58401,,,                 24802,,                 47706,                 72508,                -14107,,,                  8642,,                 24342,,                 23175,,                    265,                    265,                 10074,                 -4033,,                 11513,                -15546,                -15546,,,                 20239,                 -2028,                 18211,                 18211,                  2665,,                 34648,                -50194,,                 52599,                -49934,,                              0.13,,                              0.13,,,,,,
1457,2015年第2季,,,,              1012446,              1012446,                    537,                    868,              1011041,              1011041,,,                921873,                921873,                921873,                 89168,                 89168,,,                 22782,,                 48450,                 71232,                 17936,,,                 18742,,                360925,,                 19644,,,                 15624,                375647,                393583,,                  2341,                391242,                391242,,,                 -7107,                   -318,                 -7425,                 -7425,                383817,,                305505,                 85737,,                298171,                 85646,,                              1.16,,,,,,,,
1457,2015年01月01日至2015年09月30日,,,,              3095100,              3095100,                  2455,                 19083,              3073562,              3073562,,,              2817918,              2817918,              2817918,                255644,                255644,,,                 69755,,                121577,                191332,                 64312,,,                 29083,,                464897,,                 61086,,                 10462,                 10462,                443356,                507668,,                 17397,                490271,                490271,,,                  8404,                 -3657,                  4747,                  4747,                495018,,                450693,                 39578,,                455332,                 39686,,                              1.71,,                              1.71,,,,,,
1457,2015年01月01日至2015年06月30日,,,,              1813663,              1813663,                    740,                 16450,              1796473,              1796473,,,              1599230,              1599230,              1599230,                197243,                197243,,,                 44953,,                 73871,                118824,                 78419,,,                 20441,,                440555,,                 37911,,,                 10197,                433282,                511701,,                  5884,                505817,                505817,,,                -11835,                 -1629,                -13464,                -13464,                492353,,                416045,                 89772,,                402733,                 89620,,                              1.58,,,,,,,,
1457,2015年01月01日至2015年03月31日,,,,                801217,                801217,                    203,                 15582,                785432,                785432,,,                677357,                677357,                677357,                108075,                108075,,,                 22171,,                 25421,                 47592,                 60483,,,                  1699,,                 79630,,                 18267,,                 -5427,                 -5427,                 57635,                118118,,                  3543,                114575,                114575,,,                 -4728,                 -1311,                 -6039,                 -6039,                108536,,                110540,                  4035,,                104562,                  3974,,                              0.42,,,,,,,,
1457,2014年第3季,,,,              1103237,              1103237,                    429,                  1477,              1101331,              1101331,,,              1014221,              1014221,              1014221,                 87110,                 87110,,,                 24368,,                 26119,                 50487,                 36623,,,                 10219,,                  2962,,                 18161,,                   -172,                   -172,                 -5152,                 31471,,                  1423,                 30048,                 30048,,,                 11921,                 -1379,                 10542,                 10542,                 40590,,                 22571,                  7477,,                 32960,                  7630,,                              0.09,,                              0.09,,,,,,
1457,2014年第2季,,,,              1259371,              1259371,                  2276,                  5833,              1251262,              1251262,,,              1184420,              1184420,              1184420,                 66842,                 66842,,,                 24980,,                 23867,                 48847,                 17995,,,                 21861,,                 75852,,                 21081,,,                              0,                 76632,                 94627,,                  3282,                 91345,                 91345,,,                 -8521,                 -3379,                -11900,                -11900,                 79445,,                 44972,                 46373,,                 33182,                 46263,,                              0.17,,,,,,,,
1457,2014年度,,,,,              4445642,                  6008,                 21576,              4418058,              4418058,,,,              4111017,              4111017,                307041,                307041,,,                 95804,,                 83659,                179463,                127578,,,                 37222,,                 21642,,                 78293,,,                    178,                -19251,                108327,,                  5869,                102458,                102458,,,,,,                  5248,                107706,,                 88140,                 14318,,                 94921,                 12785,,                              0.34,,                              0.34,                 14856,                 -3144,                 -7094,                   -630,,
1457,2014年01月01日至2014年09月30日,,,,              3489355,              3489355,                  5597,                 15086,              3468672,              3468672,,,              3261350,              3261350,              3261350,                207322,                207322,,,                 72000,,                 73737,                145737,                 61585,,,                 34080,,                112443,,                 59648,,                   -172,                   -172,                 86703,                148288,,                  4240,                144048,                144048,,,                   -356,                 -1930,                 -2286,                 -2286,                141762,,                 81051,                 62997,,                 78770,                 62992,,                              0.31,,                              0.31,,,,,,
1457,2014年01月01日至2014年06月30日,,,,              2386118,              2386118,                  5168,                 13609,              2367341,              2367341,,,              2247129,              2247129,              2247129,                120212,                120212,,,                 47632,,                 47618,                 95250,                 24962,,,                 23861,,                109481,,                 41487,,,                              0,                 91855,                116817,,                  2817,                114000,                114000,,,                -12277,                   -551,                -12828,                -12828,                101172,,                 58480,                 55520,,                 45810,                 55362,,                              0.22,,,,,,,,
