證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 其他收入－其他,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 其他綜合損益
4555,2015年第3季,,,                419469,                419469,,,                230672,                230672,                188797,                188797,,,                 41221,,                 31936,,                 11139,                 84296,                104501,,,                  1637,,                 15710,,                  2974,                 14373,                118874,,                 21297,                 97577,                 97577,,,                 61683,                 10485,                 51198,                 51198,                148775,,                 97577,,                148775,,                              1.60,                              1.60,,                              1.60,                              1.60,,,,,,,
4555,2015年第2季,,,                393201,                393201,,,                190058,                190058,                203143,                203143,,,                 36137,,                 36640,,                  8471,                 81248,                121895,,,                  3257,,                 -3779,,                  2861,                 -3383,                118512,,                 24591,                 93921,                 93921,,,                -21275,                 -3616,                -17659,                -17659,                 76262,,                 93921,,                 76262,,                              1.54,                              1.54,,                              1.54,                              1.54,,,,,,,
4555,2015年01月01日至2015年09月30日,,,              1083485,              1083485,,,                555088,                555088,                528397,                528397,,,                111116,,                102330,,                 27592,                241038,                287359,,,                  5323,,                 14051,,                  7584,                 11790,                299149,,                 68543,                230606,                230606,,,                 23290,                  3959,                 19331,                 19331,                249937,,                230606,,                249937,,                              3.79,                              3.79,,                              3.79,                              3.79,,,,,,,
4555,2015年01月01日至2015年06月30日,,,                664016,                664016,,,                324416,                324416,                339600,                339600,,,                 69895,,                 70394,,                 16453,                156742,                182858,,,                  3686,,                 -1659,,                  4610,                 -2583,                180275,,                 47246,                133029,                133029,,,                -38393,                 -6526,                -31867,                -31867,                101162,,                133029,,                101162,,                              2.19,                              2.19,,                              2.19,                              2.19,,,,,,,
4555,2014年第3季,,,                454445,                454445,,,                257829,                257829,                196616,                196616,,,                 36332,,                 35881,,                  9923,                 82136,                114480,,,                  2004,,                 12338,,                  1065,                 13277,                127757,,                 25546,                102211,                102211,,,                 30076,                  5113,                 24963,                 24963,                127174,,                102211,,                127174,,                              1.68,                              1.68,,                              1.68,                              1.68,,,,,,,
4555,2014年第2季,,,                368160,                368160,,,                159722,                159722,                208438,                208438,,,                 30701,,                 32665,,                  7943,                 71309,                137129,,,                  2355,,                 -5528,,                    753,                 -3926,                133203,,                 24070,                109133,                109133,,,                -20485,                 -3482,                -17003,                -17003,                 92130,,                109133,,                 92130,,                              1.79,                              1.79,,                              1.79,                              1.79,,,,,,,
4555,2014年01月01日至2014年09月30日,,,              1040664,              1040664,,,                518075,                518075,                522589,                522589,,,                 88676,,                 93472,,                 22851,                204999,                317590,,,                  6346,,                 11639,,                  2469,                 15516,                333106,,                 78617,                254489,                254489,,,                 12329,                  2096,                 10233,                 10233,                264722,,                254489,,                264722,,                              4.19,                              4.19,,                              4.16,                              4.16,,,,,,,
4555,2014年01月01日至2014年06月30日,,,                586219,                586219,,,                260246,                260246,                325973,                325973,,,                 52344,,                 57591,,                 12928,                122863,                203110,,,                  4342,,                   -699,,                  1404,                  2239,                205349,,                 53071,                152278,                152278,,,                -17747,                 -3017,                -14730,                -14730,                137548,,                152278,,                137548,,                              2.50,                              2.50,,                              2.49,                              2.49,,,,,,,
4555,2013年01月01日至2013年12月31日,,,              1115172,              1115172,,,                453700,                453700,                661472,                661472,,,                 69168,,                114465,,                 31816,                215449,                446023,,,                 27455,,                  5755,,                  3097,                 30017,                476040,,                123341,                352699,                352699,,,,,,                 45660,                398359,,                352699,,                398359,,,                              6.03,,,                              5.99,,                              0,                 27455,,                    -96,                 55012,                 -9352
4555,2012年01月01日至2012年12月31日,,,              1479716,              1479716,,,                710632,                710632,                769084,                769084,,,                 58953,,                102813,,                 41248,                203014,                566070,,,                  5732,,                 -6756,,                  3470,                 -1981,                564089,,                146325,                417764,                417764,,,,,,                -25827,                391937,,                417764,,                391937,,,                              7.82,,,                              7.77,,                              0,                  5732,,                  2513,                -31117,                  5290
