證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2009,2014年01月01日至2014年03月31日,,,                981798,                981798,,                990975,                 -9177,                 -9177,,                 16068,                -25245,,,                  2821,,                -16963,,                  2887,,                    -51,                -17080,                -42325,,                 -4170,                -38155,                -38155,,,                 15708,                              0,                 15708,                 15708,                -22447,,                             -0.11,,                             -0.11,,,,,,
2009,2013年第3季,,,                906313,                906313,,                925480,                -19167,                -19167,,                 20743,                -39910,,,                151356,,                 60969,,                  3038,,                   -168,                209119,                169209,,                 -4592,                173801,                173801,,,,,,               -207583,                -33782,,                              0.48,,                              0.48,               -207583,,,,,                              0
2009,2013年第2季,,,                978615,                978615,,              1033797,                -55182,                -55182,,                 17182,                -72364,,,                  5950,,                -12661,,                  3108,,                    171,                 -9648,                -82012,,                -11928,                -70084,                -70084,,,,,,               -119929,               -190013,,                             -0.19,,                             -0.19,               -119929,,,,,
2009,2013年度,,,              3778037,              3778037,,              3868828,                -90791,                -90791,,                 73700,               -164491,,,                163160,,                 41361,,                 11386,,                   -113,                193022,                 28531,,                    526,                 28005,                 28005,,,,,,               -160947,               -132942,,                              0.08,,                              0.08,               -172212,                 11265,,                              0,                              0,
2009,2013年07月01日至2013年09月30日,,,                906313,                906313,,                925480,                -19167,                -19167,,                 20743,                -39910,,,                151356,,                 60969,,                  3038,,                   -168,                209119,                169209,,                 -4592,                173801,                173801,,,,,,               -207583,                -33782,,                              0.48,,                              0.48,               -207583,,,,,                              0
2009,2013年04月01日至2013年06月30日,,,                978615,                978615,,              1033797,                -55182,                -55182,,                 17182,                -72364,,,                  5950,,                -12661,,                  3108,,                    171,                 -9648,                -82012,,                -11928,                -70084,                -70084,,,,,,               -119929,               -190013,,                             -0.19,,                             -0.19,               -119929,,,,,                              0
2009,2013年01月01日至2013年12月31日,,,              3778037,              3778037,,              3868828,                -90791,                -90791,,                 73700,               -164491,,,                163160,,                 41361,,                 11386,,                   -113,                193022,                 28531,,                    526,                 28005,                 28005,,,,,,               -160947,               -132942,,                              0.08,,                              0.08,               -172212,                 11265,,,,
2009,2013年01月01日至2013年09月30日,,,              2776648,              2776648,,              2844366,                -67718,                -67718,,                 54810,               -122528,,,                160475,,                 73872,,                  8676,,                      3,                225674,                103146,,                -18246,                121392,                121392,,,,,,               -415150,               -293758,,                              0.34,,                              0.34,               -415150,,,,,                              0
2009,2013年01月01日至2013年06月30日,,,              1870335,              1870335,,              1918886,                -48551,                -48551,,                 34067,                -82618,,,                  9119,,                 12903,,                  5638,,                    171,                 16555,                -66063,,                -13654,                -52409,                -52409,,,,,,               -207567,               -259976,,                             -0.15,,                             -0.15,               -207567,,,,,
2009,2013年01月01日至2013年03月31日,,,                891720,                891720,,                885089,                  6631,                  6631,,                 16885,                -10254,,,                  3169,,                 25564,,                  2530,,                              0,                 26203,                 15949,,                 -1726,                 17675,                 17675,,,,,,                -87638,                -69963,,                              0.05,,                              0.05,                -87638,,,,,
2009,2012年07月01日至2012年09月30日,,,              1092852,              1092852,,              1068551,                 24301,                 24301,,                 19099,                  5202,,,                  2804,,                 96312,,                  2281,,                              0,                 96835,                102037,,                  1045,                100992,                100992,,,,,,                386038,                487030,,                              0.28,,                              0.28,                386038,,,,,                              0
2009,2012年04月01日至2012年06月30日,,,              1178844,              1178844,,              1208915,                -30071,                -30071,,                 17772,                -47843,,,                  8927,,                -13531,,                  2649,,                    110,                 -7143,                -54986,,                 -8056,                -46930,                -46930,,,,,,                -60810,               -107740,,                             -0.13,,                             -0.13,                -60810,,,,,                              0
2009,2012年01月01日至2012年12月31日,,,              4166969,              4166969,,              4118891,                 48078,                 48078,,                 73194,                -25116,,,                 17198,,                 70192,,                 11029,,                    232,                 76593,                 51477,,                 -4800,                 56277,                 56277,,,,,,                794709,                850986,,                              0.16,,                              0.16,                818766,                -24057,,,,
2009,2012年01月01日至2012年09月30日,,,              3279830,              3279830,,              3231115,                 48715,                 48715,,                 55936,                 -7221,,,                 14365,,                141283,,                  8764,,                    110,                146994,                139773,,                 -1194,                140967,                140967,,,,,,                480620,                621587,,                              0.39,,                              0.39,                480620,,,,,                              0
2009,2012年01月01日至2012年06月30日,,,              2186978,              2186978,,              2162564,                 24414,                 24414,,                 36837,                -12423,,,                 11561,,                 44971,,                  6483,,                    110,                 50159,                 37736,,                 -2239,                 39975,                 39975,,,,,,                 94582,                134557,,                              0.11,,                              0.11,                 94582,,,,,                              0
2009,2012年01月01日至2012年03月31日,,,              1008134,              1008134,,                953649,                 54485,                 54485,,                 19064,                 35421,,,,,                 61135,,                  3834,,,                 57301,                 92722,,                  5817,                 86905,                 86905,,,,,,                155392,                242297,,                              0.24,,                              0.24,                155392,,,,,
