證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　 其他收益及費損淨額,　　 其他收益及費損淨額
9907,2013年07月01日至2013年09月30日,,              9555656,,              8475667,              1079989,              1079989,,,                330642,,                313146,                643788,                436201,,,                 50220,,                 50866,,                107479,                 -6393,                429808,,                115733,                314075,                314075,,                -54256,                 26826,,                   -202,                -27228,                286847,,                308106,                  5969,,                291950,                 -5103,,                              0.20,                              0.20,,                              0.19,                              0.19,,,,,,,,,,,,
9907,2013年04月01日至2013年06月30日,,              7519935,,              6589912,                930023,                930023,,,                299315,,                183079,                482394,                447629,,,                  5839,,                127685,,                 88958,                 44566,                492195,,                 99889,                392306,                392306,,                205614,                 25111,,                     81,                230644,                622950,,                371248,                 21058,,                580726,                 42224,,,                              0.24,,,                              0.23,,,              7584970,              7584970,                  3687,                 61348,              7519935,,              6589912,              6589912,,
9907,2013年01月01日至2013年12月31日,,             33192553,,             29364494,              3828059,              3828059,,,              1270476,,                949039,              2219515,              1608544,,,                132604,,                295240,,                415275,                 12569,              1621113,,                309779,              1311334,              1311334,,                655811,                 42851,                 -3120,                 -1438,                696980,              2008314,,              1256122,                 55212,,              1888272,                120042,,                              0.80,                              0.80,,                              0.79,                              0.79,,,,,,,,,,,,
9907,2013年01月01日至2013年09月30日,,             24238112,,             21332309,              2905803,              2905803,,,                941162,,                705680,              1646842,              1258961,,,                 91535,,                249959,,                293043,                 48451,              1307412,,                271319,              1036093,              1036093,,                387500,                 57332,,                 -1020,                445852,              1481945,,              1000366,                 35727,,              1405567,                 76378,,                              0.63,                              0.63,,                              0.63,                              0.63,,,,,,,,,,,,
9907,2013年01月01日至2013年06月30日,,             14682456,,             12856642,              1825814,              1825814,,,                610520,,                392534,              1003054,                822760,,,                 10972,,                229436,,                185564,                 54844,                877604,,                155586,                722018,                722018,,                441756,                 30506,,                   -818,                473080,              1195098,,                692260,                 29758,,              1113617,                 81481,,,                              0.44,,,                              0.44,,,             14787254,             14787254,                  4546,                100252,             14682456,,             12856642,             12856642,,
9907,2013年01月01日至2013年03月31日,,              7162521,,              6266730,                895791,                895791,,,                311205,,                209455,                520660,                375131,,,                  5133,,                101751,,                 96606,                 10278,                385409,,                 55697,                329712,                329712,,                237041,                  5395,,,                242436,                572148,,                321012,                  8700,,                532891,                 39257,,,                              0.20,,,                              0.20,,,              7202284,              7202284,                    859,                 38904,              7162521,,,,,                              0
9907,2012年07月01日至2012年09月30日,,              7125066,,              6733484,                391582,                391582,,,                317342,,                122619,                439961,                -48379,,,                 14490,,                -47605,,                 81281,               -114396,               -162775,,                -21980,               -140795,               -140795,,               -128013,                -26437,,                   -258,               -154192,               -294987,,               -139969,                   -826,,               -271346,                -23641,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,,,,,,,,,,,,
9907,2012年04月01日至2012年06月30日,,              6965442,,              6432072,                533370,                533370,,,                323420,,                113779,                437199,                 96171,,,                 33415,,                 24203,,                 77350,                -19732,                 76439,,                 41844,                 34595,                 34595,,                 20638,                -35970,,                    163,                -15495,                 19100,,                 45819,                -11224,,                 21998,                 -2898,,,                              0.03,,,                              0.03,,,              6980447,              6980447,                  6589,                  8416,              6965442,,              6432072,              6432072,,
9907,2012年01月01日至2012年12月31日,,             27966801,,             25607098,              2359703,              2359703,,,              1235562,,                487582,              1723144,                636559,,,                110546,,                 11523,,                335389,               -213320,                423239,,                170811,                252428,                252428,,               -205384,                 -1396,               -129036,                -21235,               -314581,                -62153,,                259646,                 -7218,,                -13388,                -48765,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,,,,,,,,
9907,2012年01月01日至2012年09月30日,,             20661720,,             19103576,              1558144,              1558144,,,                924279,,                343267,              1267546,                290598,,,                 92179,,                -69627,,                239508,               -216956,                 73642,,                 72129,                  1513,                  1513,,               -239052,                -38867,,                    822,               -278741,               -277228,,                 21168,                -19655,,               -216858,                -60370,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,,,,,
