證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分投資損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 股利收入,　　　 壞帳轉回利益,　　　 處分不動產、廠房及設備損失,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
4414,2014年01月01日至2014年03月31日,,,,                647457,                647457,                              0,                 11181,                636276,                636276,,                509905,                126371,                126371,,,                 18564,,                 48062,                 66626,                 59745,,,,,,,                    442,,,,,,,,,                 10164,,                  9233,,                              0,                  1373,                 61118,,                 11700,                 49418,                 49418,,,                 12159,,                              0,                  2067,                 10092,                 10092,                 59510,,                 49418,                              0,,                 59510,                              0,,                              0.63,,                              0.62,,,,,,,
4414,2013年第3季,,,,                709799,                709799,                     38,                  1293,                708468,                708468,,                594106,                114362,                114362,,,                 23920,,                 50174,                 74094,                 40268,,,,                    476,                     57,                    165,                    698,,                   -387,                              0,                              0,                     91,                    153,                              0,,                 -3644,,                 12066,,,                -15012,                 25256,,                   -324,                 25580,                 25580,,,,,,,,                 -7022,                 18558,,                 25580,                              0,,                 18558,                              0,,                              0.39,,                              0.39,                  3195,,,,                 -8461,,                 -1439
4414,2013年第2季,,,,                790212,                790212,                     20,                  1760,                788432,                788432,,                677824,                110608,                110608,,,                 24326,,                 51090,                 75416,                 35192,,,,                    464,                     57,                  3032,                  3553,,                              0,,                  3510,                    140,                  4375,                              0,,                   -725,,                 12834,,,                -10006,                 25186,,                    209,                 24977,                 24977,,,,,,,,                  2446,                 27423,,                 24977,,,                 27423,,,                              0.41,,                              0.33,                              0,,,,                  2947,,                    501
4414,2013年度,,,,              2950707,              2950707,                     61,                  7986,              2942660,              2942660,,              2514852,                427808,                427808,,,                 92512,,                211260,                303772,                124036,,,,                  1943,                    229,                  7043,                  9215,,                              0,                              0,                 10015,                  1407,                  4860,                    935,,                  5087,,                 48093,,,                -33791,                 90245,,                    400,                 89845,                 89845,,,,,,,,                 11899,                101744,,                 89845,                              0,,                101744,                              0,,                              1.24,,                              1.06,                              0,                              0,                              0,                    540,                 13502,                    834,                  2437
4414,2013年07月01日至2013年09月30日,,,,                709799,                709799,                     38,                  1293,                708468,                708468,,                594106,                114362,                114362,,,                 23920,,                 50174,                 74094,                 40268,,,,                    476,                     57,                    165,                    698,,                              0,,                              0,                     91,                    153,                              0,,                 -3644,,                 12066,,,                -15012,                 25256,,                   -324,                 25580,                 25580,,,,,,,,                 -7022,                 18558,,                 25580,,,                 18558,,,                              0.41,,                              0.34,                  3195,                              0,,                    387,                 -8461,,                 -1439
4414,2013年04月01日至2013年06月30日,,,,                790212,                790212,                     20,                  1760,                788432,                788432,,                677824,                110608,                110608,,,                 24326,,                 51090,                 75416,                 35192,,,,                    464,                     57,                  3032,                  3553,,                              0,,                  3510,                    140,                  4375,                              0,                              0,                   -725,,                 12834,,,                -10006,                 25186,,                    209,                 24977,                 24977,,,,,,,,                  2446,                 27423,,                 24977,,,                 27423,,,                              0.41,,                              0.33,                              0,,,,                  2947,,                    501
4414,2013年01月01日至2013年12月31日,,,,              2950707,              2950707,                     61,                  7986,              2942660,              2942660,,              2514852,                427808,                427808,,,                 92512,,                211260,                303772,                124036,,,,                  1943,                    229,                  7043,                  9215,,                              0,,                 10015,                  1407,                  4860,                    935,,                  5087,,                 48093,,,                -33791,                 90245,,                    400,                 89845,                 89845,,,,,,,,                 11899,                101744,,                 89845,,,                101744,,,                              1.32,,                              1.11,                              0,                              0,,                    540,                 13502,                    834,                  2437
4414,2013年01月01日至2013年09月30日,,,,              2128140,              2128140,                     58,                  5383,              2122699,              2122699,,              1810424,                312275,                312275,,,                 69925,,                145113,                215038,                 97237,,,,                  1522,                    171,                  6225,                  7918,,                   -280,                              0,                  6652,                  1392,                  4528,                    935,,                  2301,,                 37513,,,                -27294,                 69943,,                   -922,                 70865,                 70865,,,,,,,,                  7308,                 78173,,                 70865,                              0,,                 78173,                              0,,                              1.08,,                              0.89,                              0,,,,                  8804,,                  1496
4414,2013年01月01日至2013年06月30日,,,,              1418341,              1418341,                     20,                  4090,              1414231,              1414231,,              1216318,                197913,                197913,,,                 46005,,                 94939,                140944,                 56969,,,,                  1046,                    114,                  6060,                  7220,,                    107,,                  9847,                  1301,                  4375,                    935,,                  5945,,                 25447,,,                -12282,                 44687,,                   -598,                 45285,                 45285,,,,,,,,                 14330,                 59615,,                 45285,,,                 59615,,,                              0.74,,                              0.61,                              0,,,,                 17265,,                  2935
4414,2013年01月01日至2013年03月31日,,,,                628129,                628129,,                  2330,                625799,                625799,,                538494,                 87305,                 87305,,,                 21679,,                 43849,                 65528,                 21777,,,,                    582,                     57,                  3028,                  3667,,                    107,,                  6337,                  1161,,                    935,,                  6670,,                 12613,,,                 -2276,                 19501,,                   -807,                 20308,                 20308,,,,,,,,                 11884,                 32192,,                 20308,,,                 32192,,,                              0.33,,                              0.27,,,,,                 14318,,                  2434
4414,2012年07月01日至2012年09月30日,,,,                818935,                818935,                              0,                  1471,                817464,                817464,,                690306,                127158,                127158,,,                 32595,,                 42784,                 75379,                 51779,,,,                    532,                     58,                    294,                    916,,                    423,,                              0,                    899,                  3368,                              0,,                 -5705,,                 12147,,,                -16936,                 34843,,                   -464,                 35307,                 35307,,,,,,,,                -10185,                 25122,,                 35307,,,                 25122,,,                              0.57,,                              0.46,                  3659,                     32,,                              0,                -12271,,                 -2086
4414,2012年04月01日至2012年06月30日,,,,                684619,                684619,                              0,                  2358,                682261,                682261,,                587201,                 95060,                 95060,,,                 29282,,                 39697,                 68979,                 26081,,,,                    580,                     57,                  4967,                  5604,,                  2061,,                  1427,                              0,                  1175,                              0,                    517,                  1796,,                 12974,,,                 -5574,                 20507,,                     69,                 20438,                 20438,,,,,,,,                  6892,                 27330,,                 20438,,,                 27330,,,                              0.33,,                              0.28,                              0,,,,                  8304,,                  1412
4414,2012年01月01日至2012年12月31日,,,,              2808786,              2808786,                              0,                  9137,              2799649,              2799649,,              2410634,                389015,                389015,,,                 87628,,                192904,                280532,                108483,,,,                  2274,                    229,                  6867,                  9402,,                  2589,,                              0,                    437,                  5209,                              0,,                -12242,,                 51750,,,                -54590,                 53893,,                  2564,                 51329,                 51329,,,,,,,,                -21393,                 29936,,                 51329,,,                 29936,,,                              0.83,,                              0.73,                 10059,                     32,,                              0,                -25316,                   -459,                 -4382
4414,2012年01月01日至2012年09月30日,,,,              2094409,              2094409,                              0,                  4535,              2089874,              2089874,,              1781595,                308279,                308279,,,                 87879,,                119201,                207080,                101199,,,,                  1704,                    172,                  5548,                  7456,,                  2484,,                              0,                    373,                  5071,                              0,,                 -9950,,                 38236,,,                -40730,                 60469,,                  1090,                 59379,                 59379,,,,,,,,                -17220,                 42159,,                 59379,,,                 42159,,,                              0.96,,                              0.81,                  7736,                     32,,                              0,                -20747,,                 -3527
4414,2012年01月01日至2012年06月30日,,,,              1275474,              1275474,                              0,                  3064,              1272410,              1272410,,              1091289,                181121,                181121,,,                 55284,,                 76417,                131701,                 49420,,,,                  1172,                    114,                  5254,                  6540,,                  2061,,                              0,                              0,                  1703,                              0,                    526,                 -4245,,                 26089,,,                -23794,                 25626,,                  1554,                 24072,                 24072,,,,,,,,                 -7035,                 17037,,                 24072,,,                 17037,,,                              0.39,,                              0.35,                  4077,,,,                 -8476,,                 -1441
4414,2012年01月01日至2012年03月31日,,,,                590855,                590855,,                    706,                590149,                590149,,                504088,                 86061,                 86061,,,                 26002,,                 36720,                 62722,                 23339,,,,                    592,                     57,                    287,                    936,,                              0,,                              0,                              0,                    528,                              0,                      9,                 -6041,,                 13115,,                              0,                -18220,                  5119,,                  1485,                  3634,                  3634,,,,,,,,                -13927,                -10293,,                  3634,,,                -10293,,,                              0.06,,                              0.06,                  5504,,,,                -16780,,                 -2853
