證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 其他收入－其他,　 停業單位損益,　　 停業單位損益合計,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨成本,　　　 租賃成本
1435,2015年第3季,,,                    226,,                  7230,                  7456,,,                    103,,                    705,                    808,                  6648,                  6648,,,                  8129,                  8129,                 -1481,,,                 12289,,                -10194,,                     20,                  2075,                    594,,                              0,                    594,                    594,                    594,,                    594,                              0,,                    594,,                              0.00,                              0.00,,,,,,,,,,
1435,2015年第2季,,,                    162,,                  7298,                  7460,,,                     42,,                    720,                    762,                  6698,                  6698,,,                  7520,                  7520,                   -822,,,                  1573,,                 -1415,,                     21,                    137,                   -685,,,                   -685,                   -685,                   -685,,                   -685,,,                   -685,,,                             -0.01,,                              0,                  1573,,,,,,,
1435,2015年01月01日至2015年09月30日,,,                    526,,                 21532,                 22058,,,                    188,,                  2187,                  2375,                 19683,                 19683,,,                 20928,                 20928,                 -1245,,,                 14575,,                -12638,,                     60,                  1877,                    632,,                              0,                    632,                    632,                    632,,                    632,                              0,,                    632,,                              0.00,                              0.00,,,,,,,,,,
1435,2015年01月01日至2015年06月30日,,,                    300,,                 14302,                 14602,,,                     85,,                  1482,                  1567,                 13035,                 13035,,,                 12799,                 12799,                    236,,,                  2286,,                 -2444,,                     40,                   -198,                     38,,,                     38,                     38,                     38,,                     38,,,                     38,,,                              0.00,,                              0,                  2286,,,,,,,
1435,2015年01月01日至2015年03月31日,,,,,,                  7118,,,,,,                    805,                  6313,                  6313,,,                  5279,                  5279,                  1034,,,                    737,,                 -1029,,                     19,                   -311,                    723,,,                    723,                    723,                    723,,                    723,,,                    723,,,                              0.01,,,,,,,,,,
1435,2014年第3季,,,                    289,,                  6618,                  6907,,,                    124,,                    722,                    846,                  6061,                  6061,,,                  6158,                  6158,                    -97,,,                  1362,,                   -273,,                     19,                  1070,                    973,,                              0,                    973,                    973,                    973,,                    973,                              0,,                    973,,                              0.00,                              0.00,,,,,,,,,,
1435,2014年第2季,,,                     79,,                  6521,                  6600,,,                     14,,                    737,                    751,                  5849,                  5849,,,                  7219,                  7219,                 -1370,,,                    685,,                    713,,                     19,                  1379,                      9,,,                      9,                      9,                      9,,                      9,,,                      9,,,                              0.00,,                              0,                    685,,,,,,,
1435,2014年度,,,                    714,,                 26192,                 26906,,,                    252,,                  2958,                  3210,                 23696,                 23696,,,                 30940,                 30940,                 -7244,,,                  3632,,                  2034,,                     77,                  5589,                 -1655,,                              0,                 -1655,                 -1655,                 -1655,,                 -1655,,,                 -1655,,                             -0.01,                             -0.01,,                              0,,,                              0,,,,,
1435,2014年01月01日至2014年09月30日,,,                    548,,                 19313,                 19861,,,                    196,,                  2199,                  2395,                 17466,                 17466,,,                 19627,                 19627,                 -2161,,,                  2638,,                    565,,                     57,                  3146,                    985,,                              0,                    985,                    985,                    985,,                    985,                              0,,                    985,,                              0.00,                              0.00,,,,,,,,,,
1435,2014年01月01日至2014年06月30日,,,                    259,,                 12755,                 13014,,,                     72,,                  1477,                  1549,                 11465,                 11465,,,                 13529,                 13529,                 -2064,,,                  1276,,                    838,,                     38,                  2076,                     12,,,                     12,                     12,                     12,,                     12,,,                     12,,,                              0.00,,                              0,                  1276,,,,,,,
